,conf,score
0,"(14, 100, 5, 40, 32, 7, 'Adagrad', 0.1, 'normal', 'relu')",2150.8768962985673
1,"(14, 50, 5, 40, 32, 7, 'Adagrad', 0.1, 'uniform', 'relu')",2219.101379191079
2,"(14, 50, 5, 40, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",2248.9869470270646
3,"(14, 50, 5, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",2251.8161347107507
4,"(14, 20, 5, 40, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",2257.7827526192923
5,"(14, 50, 5, 40, 500, 7, 'Adamax', 0.1, 'uniform', 'softplus')",2286.534940220343
6,"(14, 50, 5, 40, 32, 7, 'adam', 0.001, 'uniform', 'softplus')",2291.7411372154534
7,"(14, 20, 5, 40, 128, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",2293.752249027896
8,"(14, 50, 5, 40, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'linear')",2311.345584475235
9,"(14, 20, 5, 40, 128, 7, 'Adagrad', 0.1, 'uniform', 'relu')",2315.1354695373834
10,"(14, 100, 3, 40, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",2329.95662143557
11,"(14, 100, 5, 40, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",2336.487118404302
12,"(14, 50, 5, 40, 500, 7, 'Adagrad', 0.1, 'uniform', 'relu')",2353.467899832106
13,"(14, 20, 3, 40, 32, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",2363.960760209844
14,"(14, 100, 3, 40, 32, 7, 'Adagrad', 0.1, 'uniform', 'linear')",2367.69972355269
15,"(14, 50, 3, 40, 128, 7, 'Adamax', 0.1, 'uniform', 'linear')",2369.0978432704946
16,"(14, 50, 3, 40, 32, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",2369.7498696847542
17,"(14, 20, 3, 40, 500, 7, 'Adamax', 0.1, 'normal', 'relu')",2372.529557271522
18,"(14, 50, 3, 40, 500, 7, 'adam', 0.1, 'normal', 'softplus')",2373.0995293433034
19,"(14, 20, 5, 40, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",2374.760128738578
20,"(14, 50, 3, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",2376.795154341981
21,"(14, 20, 3, 40, 500, 7, 'Adamax', 0.1, 'normal', 'linear')",2384.8212611538092
22,"(14, 50, 3, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'linear')",2406.684777367194
23,"(14, 50, 3, 40, 500, 7, 'Adamax', 0.1, 'normal', 'linear')",2407.0480478434465
24,"(14, 50, 3, 40, 500, 7, 'Adagrad', 0.1, 'normal', 'softplus')",2411.896607398882
25,"(14, 20, 3, 40, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",2415.439976067574
26,"(14, 100, 5, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",2416.6064407379936
27,"(14, 20, 3, 40, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",2416.8492146883773
28,"(14, 20, 3, 40, 32, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",2426.714349689746
29,"(14, 20, 5, 40, 128, 7, 'Adamax', 0.1, 'uniform', 'linear')",2430.182419284519
30,"(14, 100, 3, 40, 500, 7, 'Adagrad', 0.1, 'normal', 'relu')",2435.2059731010795
31,"(14, 20, 5, 40, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",2439.0377254084015
32,"(14, 50, 3, 40, 128, 7, 'adam', 0.001, 'normal', 'relu')",2443.761322048147
33,"(14, 50, 3, 40, 128, 7, 'Adamax', 0.1, 'uniform', 'softplus')",2445.3189514334517
34,"(14, 50, 5, 40, 32, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2449.1950343498543
35,"(14, 50, 5, 40, 32, 7, 'Adamax', 0.001, 'uniform', 'relu')",2456.8508707844703
36,"(14, 100, 3, 40, 32, 7, 'Adamax', 0.001, 'normal', 'softplus')",2458.511991818867
37,"(14, 20, 5, 40, 128, 7, 'adam', 0.001, 'uniform', 'relu')",2478.215559917867
38,"(14, 50, 3, 40, 500, 7, 'Adagrad', 0.1, 'normal', 'linear')",2483.8132680382305
39,"(14, 50, 5, 40, 500, 7, 'Adagrad', 0.1, 'uniform', 'linear')",2483.822873637472
40,"(14, 20, 5, 40, 128, 7, 'adam', 0.001, 'normal', 'softplus')",2488.403687507155
41,"(14, 20, 3, 40, 128, 7, 'Adamax', 0.1, 'normal', 'relu')",2488.947951387188
42,"(14, 50, 3, 40, 32, 7, 'Adamax', 0.1, 'normal', 'linear')",2490.709972520288
43,"(14, 100, 5, 40, 128, 7, 'Adamax', 0.001, 'normal', 'softplus')",2492.884924357744
44,"(14, 20, 3, 40, 500, 7, 'adam', 0.1, 'uniform', 'relu')",2501.681166893285
45,"(14, 50, 3, 40, 128, 7, 'adam', 0.1, 'uniform', 'linear')",2503.38124926254
46,"(14, 100, 3, 40, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2505.231394539819
47,"(14, 20, 5, 40, 32, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",2507.031993369161
48,"(14, 100, 3, 40, 32, 0, 'adam', 0.001, 'uniform', 'linear')",2533.568639708593
49,"(14, 100, 3, 40, 128, 7, 'Adamax', 0.001, 'normal', 'relu')",2539.9762684302495
50,"(14, 20, 3, 40, 128, 7, 'adam', 0.001, 'normal', 'linear')",2540.399839842077
51,"(14, 100, 3, 40, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'relu')",2547.8035922059744
52,"(14, 50, 5, 40, 32, 0, 'adam', 0.001, 'lecun_uniform', 'softplus')",2547.9789507204528
53,"(14, 100, 3, 40, 500, 7, 'adam', 0.001, 'normal', 'softplus')",2548.772610141883
54,"(14, 20, 3, 40, 128, 7, 'adam', 0.001, 'uniform', 'softplus')",2560.0392691215857
55,"(14, 50, 3, 40, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2562.235018041568
56,"(14, 20, 5, 40, 32, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",2566.4332575902567
57,"(14, 20, 3, 40, 128, 7, 'adam', 0.001, 'normal', 'relu')",2566.746428854057
58,"(14, 50, 5, 40, 500, 7, 'adam', 0.001, 'normal', 'linear')",2567.9441279322923
59,"(14, 50, 5, 40, 500, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",2568.3949512854133
60,"(14, 50, 3, 40, 32, 0, 'adam', 0.001, 'normal', 'linear')",2573.1016873893295
61,"(14, 50, 3, 40, 128, 7, 'adam', 0.1, 'uniform', 'relu')",2587.1421874802177
62,"(14, 50, 3, 40, 128, 7, 'adam', 0.1, 'lecun_uniform', 'linear')",2589.9942334466114
63,"(14, 50, 3, 40, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",2609.0680928370602
64,"(14, 20, 3, 40, 128, 7, 'adam', 0.1, 'uniform', 'linear')",2609.3009115249442
65,"(14, 50, 3, 40, 128, 7, 'Adamax', 0.001, 'uniform', 'relu')",2619.967545956239
66,"(14, 100, 5, 40, 32, 0, 'Adamax', 0.001, 'uniform', 'relu')",2620.1964676784764
67,"(14, 20, 3, 40, 32, 7, 'Adamax', 0.001, 'normal', 'softplus')",2623.2606245737
68,"(14, 100, 5, 40, 32, 0, 'Adamax', 0.001, 'lecun_uniform', 'relu')",2629.63056050169
69,"(14, 100, 5, 40, 500, 7, 'Adamax', 0.001, 'normal', 'relu')",2636.2812918022973
70,"(14, 50, 3, 40, 128, 0, 'adam', 0.1, 'normal', 'linear')",2654.4641488391826
71,"(14, 20, 5, 40, 128, 7, 'adam', 0.1, 'uniform', 'linear')",2657.915799830259
72,"(14, 100, 5, 40, 32, 0, 'adam', 0.001, 'uniform', 'relu')",2661.1753355853916
73,"(14, 20, 5, 40, 128, 7, 'Adamax', 0.001, 'uniform', 'linear')",2664.103062403057
74,"(14, 20, 5, 40, 128, 7, 'Adamax', 0.001, 'uniform', 'relu')",2681.380884255435
75,"(14, 50, 5, 40, 32, 7, 'Adamax', 0.1, 'uniform', 'softplus')",2687.451727278555
76,"(14, 100, 3, 40, 32, 0, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",2688.8988325245123
77,"(14, 100, 3, 40, 500, 7, 'Adamax', 0.001, 'uniform', 'relu')",2695.639588235615
78,"(14, 20, 5, 40, 500, 7, 'adam', 0.001, 'uniform', 'softplus')",2709.9324427049232
79,"(14, 100, 3, 40, 32, 7, 'Adamax', 0.1, 'uniform', 'relu')",2711.427889391247
80,"(14, 50, 5, 40, 128, 0, 'adam', 0.1, 'normal', 'linear')",2730.17145771536
81,"(14, 20, 3, 40, 32, 0, 'adam', 0.001, 'lecun_uniform', 'linear')",2730.7619972502516
82,"(14, 50, 3, 40, 500, 7, 'Adamax', 0.001, 'uniform', 'linear')",2739.374547421875
83,"(14, 100, 5, 40, 128, 7, 'Adagrad', 0.001, 'uniform', 'linear')",2742.2865808347747
84,"(14, 20, 3, 40, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2760.786395991487
85,"(14, 50, 3, 40, 32, 7, 'Adagrad', 0.001, 'lecun_uniform', 'linear')",2773.20556447807
