,conf,score
0,"(14, 100, 5, 40, 32, 7, 'adam', 0.1, 'lecun_uniform', 'softplus')",357.3718263567822
1,"(14, 20, 5, 40, 32, 0, 'adam', 0.1, 'normal', 'linear')",358.67943977115414
2,"(14, 50, 5, 40, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'softplus')",359.3895808108397
3,"(14, 50, 5, 40, 128, 7, 'Adamax', 0.1, 'normal', 'relu')",360.50828648200337
4,"(14, 50, 5, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",361.3579475921001
5,"(14, 20, 5, 40, 32, 0, 'adam', 0.1, 'uniform', 'linear')",362.5519551947141
6,"(14, 50, 5, 40, 128, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",363.2974555778706
7,"(14, 50, 5, 40, 32, 0, 'adam', 0.1, 'uniform', 'linear')",364.56655238711414
8,"(14, 20, 5, 40, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'softplus')",366.7002901753863
9,"(14, 100, 5, 40, 128, 7, 'Adamax', 0.1, 'uniform', 'linear')",366.70916674343755
10,"(14, 20, 5, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",368.0939941039401
11,"(14, 50, 5, 40, 32, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",368.154152864248
12,"(14, 100, 5, 40, 128, 7, 'adam', 0.001, 'normal', 'softplus')",370.75880558656513
13,"(14, 100, 5, 40, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",371.9902122495151
14,"(14, 100, 3, 40, 32, 7, 'Adagrad', 0.1, 'normal', 'relu')",372.31039061239807
15,"(14, 100, 5, 40, 500, 7, 'Adagrad', 0.1, 'normal', 'softplus')",374.4855832981493
16,"(14, 100, 3, 40, 32, 7, 'adam', 0.001, 'normal', 'relu')",375.0940365144786
17,"(14, 20, 3, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",375.2253124345379
18,"(14, 20, 3, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",375.3794417861185
19,"(14, 100, 3, 40, 32, 7, 'Adagrad', 0.1, 'uniform', 'linear')",376.04335791331516
20,"(14, 100, 3, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",376.1660129787053
21,"(14, 50, 3, 40, 32, 7, 'adam', 0.001, 'normal', 'relu')",377.44037583840236
22,"(14, 100, 5, 40, 500, 7, 'Adagrad', 0.1, 'lecun_uniform', 'linear')",377.83555632240467
