,conf,score
0,"(14, 100, 5, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",762.1146908320842
1,"(14, 100, 5, 40, 32, 7, 'adam', 0.001, 'uniform', 'linear')",762.809758075409
2,"(14, 50, 5, 40, 500, 7, 'Adamax', 0.1, 'normal', 'softplus')",763.567634907653
3,"(14, 50, 5, 40, 32, 0, 'adam', 0.001, 'lecun_uniform', 'relu')",764.065476315202
4,"(14, 20, 5, 40, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'linear')",766.3673764475014
5,"(14, 50, 3, 40, 32, 0, 'adam', 0.001, 'lecun_uniform', 'softplus')",767.6071295048779
6,"(14, 20, 5, 40, 500, 7, 'Adamax', 0.1, 'uniform', 'softplus')",768.0390673721992
7,"(14, 20, 5, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",770.4580206431972
8,"(14, 50, 3, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",770.6085173294782
9,"(14, 100, 5, 40, 128, 7, 'Adamax', 0.1, 'uniform', 'relu')",771.8613295745279
10,"(14, 50, 3, 40, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",773.4439521104946
11,"(14, 100, 5, 40, 500, 7, 'Adagrad', 0.1, 'lecun_uniform', 'linear')",776.1154575601715
12,"(14, 20, 5, 40, 128, 7, 'Adagrad', 0.1, 'uniform', 'linear')",777.4822852650742
13,"(14, 100, 3, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",777.9207139809571
14,"(14, 20, 3, 40, 500, 7, 'Adamax', 0.1, 'uniform', 'linear')",778.4316915164206
15,"(14, 50, 3, 40, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",778.6363207739439
16,"(14, 100, 5, 40, 500, 7, 'adam', 0.1, 'normal', 'softplus')",780.2816472170625
17,"(14, 20, 3, 40, 32, 7, 'Adagrad', 0.1, 'uniform', 'relu')",780.2897703685385
18,"(14, 100, 3, 40, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",782.1808937970486
