,conf,score
0,"(7, 100, 3, 25, 32, 7, 'Adamax', 0.001, 'uniform', 'linear')",2696.8214979172535
1,"(7, 100, 3, 25, 32, 7, 'Adamax', 0.001, 'normal', 'softplus')",2753.064273699226
2,"(7, 100, 3, 25, 32, 0, 'adam', 0.1, 'uniform', 'softplus')",2757.683987352025
3,"(7, 100, 5, 25, 32, 0, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2806.410316367512
4,"(7, 100, 3, 25, 32, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2810.1668530102997
5,"(7, 100, 3, 25, 500, 7, 'adam', 0.1, 'uniform', 'relu')",2816.3877056462734
6,"(7, 100, 3, 25, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",2816.550274475508
7,"(7, 100, 5, 25, 32, 7, 'adam', 0.001, 'normal', 'linear')",2829.101568128487
8,"(7, 50, 3, 25, 32, 7, 'adam', 0.1, 'uniform', 'relu')",2861.148538708526
9,"(7, 50, 3, 25, 32, 7, 'adam', 0.1, 'lecun_uniform', 'linear')",2864.178037062165
10,"(7, 100, 3, 25, 32, 0, 'adam', 0.001, 'uniform', 'softplus')",2869.4516708969777
11,"(7, 100, 5, 25, 500, 7, 'adam', 0.001, 'normal', 'linear')",2871.871774562411
12,"(7, 50, 5, 25, 32, 7, 'Adamax', 0.001, 'uniform', 'linear')",2881.1306783106074
13,"(7, 50, 3, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",2881.439104404635
14,"(7, 50, 5, 25, 32, 7, 'adam', 0.1, 'uniform', 'linear')",2884.149847477217
15,"(14, 100, 3, 25, 128, 7, 'adam', 0.001, 'uniform', 'softplus')",2885.637839116058
16,"(7, 100, 3, 25, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",2888.7701096764813
17,"(14, 100, 3, 25, 128, 7, 'adam', 0.001, 'uniform', 'relu')",2892.9714498076783
18,"(7, 20, 5, 25, 32, 7, 'adam', 0.001, 'normal', 'linear')",2893.843400345505
19,"(7, 100, 5, 25, 500, 7, 'Adamax', 0.001, 'normal', 'linear')",2895.2124857413046
20,"(7, 20, 5, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",2898.0725453993978
21,"(14, 100, 5, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",2898.366703764784
22,"(7, 50, 5, 25, 128, 7, 'adam', 0.001, 'uniform', 'linear')",2899.5917878708115
23,"(7, 100, 5, 25, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",2902.180702732461
24,"(14, 100, 5, 25, 128, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",2903.2366650480444
25,"(14, 100, 3, 25, 32, 7, 'adam', 0.1, 'normal', 'softplus')",2907.83186477655
26,"(14, 100, 5, 25, 128, 7, 'adam', 0.001, 'normal', 'relu')",2908.582012841738
27,"(7, 100, 3, 25, 500, 7, 'Adamax', 0.1, 'uniform', 'softplus')",2918.5335817903388
28,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.1, 'uniform', 'relu')",2919.0384259210005
29,"(7, 100, 5, 25, 32, 0, 'Adagrad', 0.1, 'normal', 'softplus')",2926.566641297357
30,"(14, 50, 5, 25, 500, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",2933.8645806285967
31,"(7, 20, 5, 25, 128, 7, 'adam', 0.001, 'uniform', 'softplus')",2937.6754449863074
32,"(7, 50, 3, 25, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",2939.4372947792153
33,"(14, 50, 5, 25, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",2939.6270907596872
34,"(14, 100, 3, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",2947.9309069542014
35,"(7, 100, 3, 25, 32, 0, 'Adamax', 0.1, 'normal', 'relu')",2950.43073338717
36,"(7, 50, 5, 25, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",2961.363106495385
37,"(14, 50, 5, 25, 128, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",2973.992324255391
38,"(7, 50, 3, 25, 32, 7, 'adam', 0.1, 'normal', 'linear')",2979.934739155367
