,conf,score
0,"(7, 100, 3, 25, 128, 7, 'Adamax', 0.001, 'uniform', 'softplus')",369.29531745991073
1,"(7, 100, 3, 25, 128, 7, 'adam', 0.001, 'uniform', 'linear')",376.4256290281196
2,"(7, 100, 5, 25, 128, 7, 'adam', 0.001, 'normal', 'softplus')",379.21195023049825
3,"(7, 100, 5, 25, 128, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",383.2210015368662
4,"(7, 100, 3, 25, 32, 7, 'adam', 0.1, 'uniform', 'relu')",386.26167998280835
5,"(7, 100, 3, 25, 128, 7, 'adam', 0.001, 'normal', 'linear')",389.18812256722794
6,"(7, 100, 3, 25, 32, 0, 'Adagrad', 0.1, 'uniform', 'softplus')",390.5320762025591
7,"(7, 100, 5, 25, 32, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",391.16510430263804
8,"(7, 100, 5, 25, 500, 7, 'Adamax', 0.001, 'normal', 'linear')",392.74510851377755
9,"(7, 100, 5, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",394.5058169806314
10,"(7, 100, 5, 25, 32, 0, 'Adamax', 0.001, 'normal', 'relu')",395.6040361609239
11,"(7, 100, 5, 25, 128, 0, 'Adamax', 0.001, 'normal', 'relu')",396.0283304566044
12,"(7, 100, 5, 25, 500, 0, 'adam', 0.1, 'uniform', 'linear')",396.2916584550069
13,"(7, 100, 3, 25, 32, 0, 'adam', 0.001, 'normal', 'relu')",396.44279151204495
14,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",397.07859430934275
15,"(7, 100, 5, 25, 128, 0, 'Adagrad', 0.001, 'uniform', 'relu')",397.7208675437675
16,"(7, 100, 3, 25, 32, 0, 'adam', 0.001, 'normal', 'linear')",399.2912891638907
17,"(7, 50, 5, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",400.01045965367587
18,"(7, 100, 5, 25, 32, 7, 'adam', 0.1, 'uniform', 'relu')",400.4935134475804
19,"(7, 50, 5, 25, 32, 0, 'adam', 0.001, 'uniform', 'linear')",401.8274954308324
20,"(7, 100, 3, 25, 32, 0, 'adam', 0.001, 'normal', 'softplus')",404.54094817103834
21,"(7, 20, 5, 25, 32, 7, 'adam', 0.001, 'uniform', 'relu')",404.60055851735456
22,"(7, 50, 3, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",407.2449226816159
23,"(7, 50, 3, 25, 128, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",408.0345606208168
24,"(7, 100, 3, 25, 128, 0, 'adam', 0.1, 'lecun_uniform', 'softplus')",410.35711668332533
25,"(7, 50, 3, 25, 128, 7, 'Adamax', 0.1, 'normal', 'softplus')",411.7512152914344
26,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.001, 'normal', 'softplus')",411.82526188044477
27,"(14, 100, 5, 25, 32, 0, 'adam', 0.001, 'uniform', 'softplus')",411.9620467893121
28,"(7, 50, 5, 25, 32, 0, 'Adamax', 0.001, 'normal', 'relu')",412.3776275655772
29,"(7, 100, 3, 25, 32, 7, 'Adagrad', 0.1, 'normal', 'relu')",413.19824203271446
30,"(7, 100, 5, 25, 500, 7, 'Adagrad', 0.001, 'normal', 'linear')",414.82297654872224
31,"(7, 50, 3, 25, 500, 7, 'Adamax', 0.001, 'uniform', 'linear')",417.99845819789937
32,"(7, 20, 5, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",419.00870083808957
33,"(7, 100, 3, 25, 128, 0, 'Adagrad', 0.1, 'normal', 'softplus')",420.46309748425443
34,"(7, 50, 3, 25, 500, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",421.14570454340486
35,"(7, 50, 3, 25, 32, 0, 'adam', 0.001, 'uniform', 'linear')",421.28648132447165
36,"(14, 100, 3, 25, 32, 7, 'Adamax', 0.001, 'uniform', 'relu')",422.3251914376671
37,"(7, 100, 3, 25, 128, 0, 'adam', 0.001, 'lecun_uniform', 'softplus')",422.4712031907843
38,"(14, 100, 5, 25, 128, 7, 'Adamax', 0.001, 'uniform', 'relu')",425.15132141963386
39,"(14, 100, 3, 25, 32, 0, 'adam', 0.001, 'normal', 'linear')",426.73245683469116
40,"(7, 100, 3, 25, 128, 0, 'adam', 0.001, 'normal', 'softplus')",428.0350050433116
41,"(7, 50, 3, 25, 32, 0, 'adam', 0.1, 'normal', 'linear')",428.24613500324176
42,"(7, 100, 5, 25, 500, 7, 'Adagrad', 0.001, 'lecun_uniform', 'linear')",430.37768755281195
43,"(7, 100, 5, 25, 500, 0, 'adam', 0.1, 'uniform', 'softplus')",434.68161545376654
44,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.001, 'lecun_uniform', 'softplus')",435.7186968128059
45,"(7, 20, 5, 25, 500, 7, 'adam', 0.1, 'normal', 'linear')",437.7658398735971
46,"(14, 50, 5, 25, 32, 7, 'Adamax', 0.1, 'uniform', 'relu')",437.8066130083954
47,"(14, 50, 3, 25, 32, 0, 'adam', 0.001, 'uniform', 'softplus')",439.3271438091051
48,"(7, 100, 5, 25, 500, 7, 'Adagrad', 0.001, 'normal', 'relu')",439.3750711502868
49,"(14, 100, 5, 25, 32, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",440.3488955976517
50,"(7, 50, 5, 25, 128, 0, 'Adamax', 0.1, 'uniform', 'softplus')",442.11078755063204
51,"(14, 100, 5, 25, 128, 0, 'adam', 0.1, 'lecun_uniform', 'relu')",442.1900649707918
52,"(14, 100, 3, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",444.1646292730421
53,"(14, 100, 5, 25, 128, 7, 'Adamax', 0.1, 'uniform', 'linear')",444.3778519346814
54,"(7, 20, 3, 25, 500, 7, 'adam', 0.1, 'lecun_uniform', 'linear')",444.97031663863845
55,"(14, 100, 5, 25, 128, 7, 'adam', 0.1, 'uniform', 'linear')",445.1667880924798
56,"(7, 20, 3, 25, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",445.93336821275216
57,"(7, 50, 3, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",448.68861860774206
58,"(14, 100, 3, 25, 128, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",448.8477118355852
59,"(7, 100, 5, 25, 32, 0, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",449.7184819728633
60,"(14, 50, 3, 25, 128, 7, 'Adamax', 0.001, 'uniform', 'relu')",450.8195169569483
61,"(14, 50, 3, 25, 128, 7, 'adam', 0.001, 'normal', 'relu')",450.87379948211856
62,"(14, 50, 5, 25, 32, 0, 'adam', 0.1, 'normal', 'softplus')",450.9691844054531
63,"(14, 50, 3, 25, 500, 7, 'Adamax', 0.001, 'uniform', 'linear')",451.18962738680443
64,"(14, 100, 5, 25, 128, 7, 'adam', 0.1, 'uniform', 'softplus')",451.43729292235014
65,"(14, 100, 3, 25, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",451.65203585485995
66,"(14, 100, 5, 25, 32, 7, 'Adagrad', 0.001, 'normal', 'linear')",452.05357218579627
67,"(14, 20, 5, 25, 32, 0, 'adam', 0.1, 'normal', 'relu')",452.53584291098474
68,"(14, 100, 3, 25, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",453.5134196742839
69,"(14, 20, 5, 25, 128, 7, 'adam', 0.001, 'uniform', 'relu')",453.5647557960683
70,"(7, 100, 5, 25, 500, 0, 'Adamax', 0.001, 'normal', 'softplus')",453.5708667407814
71,"(14, 100, 3, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",453.87467007062304
72,"(14, 50, 5, 25, 500, 7, 'adam', 0.1, 'normal', 'linear')",457.0262703951161
73,"(14, 20, 3, 25, 128, 7, 'adam', 0.1, 'normal', 'softplus')",457.498416216425
74,"(14, 100, 5, 25, 500, 7, 'adam', 0.001, 'uniform', 'linear')",457.6229633269334
75,"(14, 100, 5, 25, 128, 7, 'adam', 0.001, 'uniform', 'relu')",457.72633891792725
76,"(7, 50, 3, 25, 500, 0, 'adam', 0.1, 'lecun_uniform', 'relu')",458.00337403509866
77,"(14, 50, 3, 25, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",458.61883815803935
78,"(14, 20, 3, 25, 32, 7, 'adam', 0.1, 'uniform', 'softplus')",458.73590864421135
79,"(14, 20, 5, 25, 32, 7, 'adam', 0.1, 'lecun_uniform', 'linear')",460.18087017222825
80,"(14, 20, 5, 25, 32, 7, 'Adamax', 0.001, 'normal', 'softplus')",460.5318067153462
81,"(7, 50, 5, 25, 500, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",460.80183439124517
82,"(14, 50, 5, 25, 128, 7, 'Adagrad', 0.1, 'uniform', 'linear')",461.58372001139594
83,"(14, 50, 5, 25, 32, 7, 'Adagrad', 0.1, 'normal', 'linear')",461.58445416920813
84,"(14, 20, 5, 25, 32, 7, 'adam', 0.1, 'uniform', 'relu')",462.771073321299
85,"(14, 50, 3, 25, 500, 7, 'adam', 0.1, 'normal', 'softplus')",463.4903418047605
86,"(14, 20, 5, 25, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'linear')",463.59359975774845
87,"(14, 50, 5, 25, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'softplus')",463.9194313783508
88,"(14, 20, 5, 25, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'linear')",464.0426447329932
89,"(14, 20, 5, 25, 32, 0, 'adam', 0.1, 'uniform', 'relu')",464.1449507478121
90,"(14, 50, 5, 25, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'relu')",464.2843676300528
91,"(14, 50, 3, 25, 32, 0, 'adam', 0.1, 'uniform', 'softplus')",464.82390077075536
92,"(14, 50, 3, 25, 32, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",465.9093332905856
93,"(14, 50, 5, 25, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",465.94530718326973
94,"(7, 20, 3, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'linear')",466.3854957600445
95,"(7, 100, 5, 25, 128, 0, 'Adamax', 0.1, 'lecun_uniform', 'linear')",466.5955970885819
96,"(14, 20, 3, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'relu')",467.5207558478005
97,"(14, 50, 3, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",467.7683595129173
98,"(14, 100, 5, 25, 32, 0, 'Adamax', 0.001, 'uniform', 'relu')",468.20636556477825
99,"(14, 20, 5, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",468.9235914020917
100,"(7, 20, 5, 25, 500, 7, 'Adamax', 0.001, 'normal', 'softplus')",469.3530787839249
101,"(14, 20, 5, 25, 32, 7, 'adam', 0.001, 'normal', 'linear')",469.4878515300038
102,"(14, 20, 5, 25, 128, 0, 'adam', 0.1, 'uniform', 'relu')",470.67431794487277
103,"(7, 100, 5, 25, 128, 0, 'Adagrad', 0.1, 'lecun_uniform', 'softplus')",471.2978497185785
104,"(7, 20, 5, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'linear')",472.6674439317685
105,"(14, 50, 3, 25, 128, 0, 'Adamax', 0.1, 'normal', 'relu')",472.9110555637436
106,"(14, 20, 3, 25, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",472.9129635649927
107,"(7, 20, 3, 25, 500, 7, 'Adamax', 0.1, 'uniform', 'relu')",473.35772680128764
108,"(7, 50, 5, 25, 128, 0, 'Adamax', 0.1, 'normal', 'linear')",473.4131268476238
109,"(14, 20, 5, 25, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",475.0628093810489
110,"(14, 20, 5, 25, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",475.09938983960467
111,"(14, 20, 5, 25, 500, 7, 'Adamax', 0.001, 'uniform', 'softplus')",477.5716450556614
112,"(14, 20, 3, 25, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",479.30457603758185
113,"(14, 50, 3, 25, 500, 0, 'adam', 0.001, 'lecun_uniform', 'softplus')",479.9681690920256
114,"(14, 20, 5, 25, 500, 7, 'Adagrad', 0.001, 'uniform', 'linear')",480.0537652592696
115,"(14, 20, 3, 25, 500, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",483.0072263291826
116,"(7, 50, 5, 25, 32, 0, 'Adagrad', 0.001, 'lecun_uniform', 'softplus')",483.6194883984299
117,"(14, 20, 5, 25, 500, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",484.4110456378718
118,"(14, 100, 3, 25, 32, 0, 'Adagrad', 0.1, 'normal', 'relu')",486.0478610361016
119,"(7, 100, 5, 25, 500, 0, 'Adamax', 0.001, 'lecun_uniform', 'relu')",486.2006542977937
120,"(7, 20, 5, 25, 500, 0, 'adam', 0.1, 'lecun_uniform', 'linear')",486.73767304167245
121,"(7, 100, 5, 25, 500, 0, 'adam', 0.1, 'normal', 'linear')",488.7864199076737
