,conf,score
0,"(7, 100, 3, 25, 128, 7, 'Adamax', 0.1, 'uniform', 'softplus')",809.3922416381027
1,"(7, 100, 5, 25, 128, 7, 'adam', 0.1, 'normal', 'relu')",816.4623053985563
2,"(7, 100, 5, 25, 32, 0, 'Adamax', 0.001, 'lecun_uniform', 'linear')",816.6246595161108
3,"(7, 100, 5, 25, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",824.5910653652006
4,"(7, 50, 3, 25, 32, 0, 'adam', 0.001, 'normal', 'relu')",840.9516359203335
5,"(7, 50, 3, 25, 128, 7, 'adam', 0.1, 'normal', 'softplus')",842.2053830525128
6,"(7, 100, 3, 25, 128, 7, 'adam', 0.1, 'uniform', 'relu')",843.907897115967
7,"(7, 100, 5, 25, 500, 7, 'Adamax', 0.001, 'normal', 'softplus')",850.891037455393
8,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.1, 'uniform', 'linear')",853.2563745701207
9,"(7, 100, 5, 25, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'linear')",854.4370957296563
10,"(7, 100, 3, 25, 128, 7, 'Adagrad', 0.001, 'normal', 'relu')",855.9304045316301
11,"(7, 100, 5, 25, 128, 7, 'Adagrad', 0.001, 'uniform', 'relu')",856.5468891115537
12,"(7, 100, 5, 25, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",863.555244325276
13,"(7, 100, 3, 25, 32, 7, 'adam', 0.1, 'uniform', 'linear')",864.17640749259
14,"(7, 50, 5, 25, 32, 7, 'Adamax', 0.1, 'normal', 'linear')",865.2535529339823
15,"(7, 50, 3, 25, 32, 7, 'adam', 0.001, 'normal', 'linear')",868.7005689831467
16,"(7, 50, 3, 25, 128, 7, 'adam', 0.1, 'normal', 'linear')",869.039946352719
17,"(7, 100, 3, 25, 128, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",869.6332774569483
18,"(7, 50, 3, 25, 32, 0, 'adam', 0.001, 'uniform', 'relu')",873.5701382886725
19,"(7, 50, 3, 25, 32, 7, 'adam', 0.001, 'uniform', 'linear')",875.0738213881419
20,"(7, 100, 3, 25, 32, 7, 'Adagrad', 0.001, 'normal', 'linear')",877.0898761797919
21,"(7, 100, 5, 25, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",878.120622126184
22,"(7, 100, 5, 25, 32, 7, 'Adagrad', 0.1, 'normal', 'relu')",881.3553262864937
23,"(7, 20, 3, 25, 500, 7, 'adam', 0.1, 'uniform', 'relu')",885.5076914334761
24,"(7, 20, 3, 25, 32, 7, 'adam', 0.001, 'uniform', 'relu')",886.2443725969276
25,"(7, 100, 3, 25, 500, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",889.9691863007349
26,"(7, 20, 3, 25, 128, 7, 'adam', 0.001, 'uniform', 'linear')",895.457132658327
27,"(14, 100, 3, 25, 32, 0, 'adam', 0.1, 'normal', 'softplus')",896.571532370931
28,"(7, 100, 3, 25, 128, 0, 'adam', 0.1, 'uniform', 'softplus')",897.6622985858053
29,"(7, 100, 5, 25, 500, 7, 'Adagrad', 0.1, 'normal', 'softplus')",899.6665288559122
30,"(7, 20, 3, 25, 32, 0, 'adam', 0.1, 'uniform', 'softplus')",903.7303338167064
31,"(7, 20, 3, 25, 32, 7, 'Adamax', 0.001, 'uniform', 'relu')",911.6177221625258
32,"(7, 20, 3, 25, 32, 7, 'Adamax', 0.1, 'normal', 'softplus')",912.4489857559411
33,"(14, 100, 5, 25, 32, 7, 'Adamax', 0.1, 'uniform', 'linear')",930.0530542744231
34,"(14, 100, 3, 25, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",931.3808312627489
35,"(14, 100, 3, 25, 128, 7, 'adam', 0.001, 'uniform', 'relu')",931.5424680765432
36,"(14, 100, 5, 25, 128, 7, 'Adamax', 0.001, 'normal', 'linear')",931.6467965954221
37,"(7, 100, 5, 25, 128, 0, 'Adamax', 0.1, 'uniform', 'softplus')",932.2900430170002
38,"(7, 50, 3, 25, 32, 0, 'Adamax', 0.001, 'uniform', 'softplus')",936.5390909096741
