,score,conf
1,34146.68001049846,"(1, 1, 1, 1, 1, 2)"
9,34148.38494030784,"(1, 1, 2, 1, 1, 2)"
12,34148.41586932088,"(1, 1, 2, 2, 1, 1)"
4,34152.60376216408,"(1, 1, 1, 2, 1, 1)"
0,34159.14021993889,"(1, 1, 1, 1, 1, 1)"
44,34170.20837153528,"(2, 1, 2, 2, 1, 1)"
8,34173.516971077435,"(1, 1, 2, 1, 1, 1)"
32,34179.995026567005,"(2, 1, 1, 1, 1, 1)"
40,34185.75784684631,"(2, 1, 2, 1, 1, 1)"
5,34192.24154706734,"(1, 1, 1, 2, 1, 2)"
36,34198.849860262366,"(2, 1, 1, 2, 1, 1)"
33,34263.59881485857,"(2, 1, 1, 1, 1, 2)"
60,34379.91447486707,"(2, 2, 2, 2, 1, 1)"
41,34411.68395829835,"(2, 1, 2, 1, 1, 2)"
52,34412.057734294656,"(2, 2, 1, 2, 1, 1)"
6,34418.08740521537,"(1, 1, 1, 2, 2, 1)"
37,34431.76479556385,"(2, 1, 1, 2, 1, 2)"
45,34440.07557751001,"(2, 1, 2, 2, 1, 2)"
13,34445.839742291726,"(1, 1, 2, 2, 1, 2)"
28,34451.3659358798,"(1, 2, 2, 2, 1, 1)"
48,34455.35138119259,"(2, 2, 1, 1, 1, 1)"
39,34461.430144426886,"(2, 1, 1, 2, 2, 2)"
53,34469.41576774089,"(2, 2, 1, 2, 1, 2)"
20,34509.29082817766,"(1, 2, 1, 2, 1, 1)"
38,34518.11353349745,"(2, 1, 1, 2, 2, 1)"
3,34520.87668621463,"(1, 1, 1, 1, 2, 2)"
16,34538.795397502974,"(1, 2, 1, 1, 1, 1)"
21,34558.25399463143,"(1, 2, 1, 2, 1, 2)"
25,34578.85474560358,"(1, 2, 2, 1, 1, 2)"
49,34595.51050485159,"(2, 2, 1, 1, 1, 2)"
14,34649.6650200631,"(1, 1, 2, 2, 2, 1)"
17,34657.77119238478,"(1, 2, 1, 1, 1, 2)"
2,34682.484924161894,"(1, 1, 1, 1, 2, 1)"
10,34689.04320400561,"(1, 1, 2, 1, 2, 1)"
54,34700.83512083004,"(2, 2, 1, 2, 2, 1)"
42,34705.35457334129,"(2, 1, 2, 1, 2, 1)"
57,34755.91763750001,"(2, 2, 2, 1, 1, 2)"
56,34769.9395101269,"(2, 2, 2, 1, 1, 1)"
61,34777.213551425484,"(2, 2, 2, 2, 1, 2)"
34,34783.38008228059,"(2, 1, 1, 1, 2, 1)"
22,34818.74654966987,"(1, 2, 1, 2, 2, 1)"
24,34826.635059053064,"(1, 2, 2, 1, 1, 1)"
30,34855.433237627854,"(1, 2, 2, 2, 2, 1)"
29,34899.29887207648,"(1, 2, 2, 2, 1, 2)"
11,34905.16789707601,"(1, 1, 2, 1, 2, 2)"
50,34972.93053941091,"(2, 2, 1, 1, 2, 1)"
46,34998.70767409094,"(2, 1, 2, 2, 2, 1)"
58,35080.10533999314,"(2, 2, 2, 1, 2, 1)"
18,35080.9371119753,"(1, 2, 1, 1, 2, 1)"
26,35106.36277727132,"(1, 2, 2, 1, 2, 1)"
7,35159.95729986666,"(1, 1, 1, 2, 2, 2)"
27,35304.9916305168,"(1, 2, 2, 1, 2, 2)"
43,35348.45348597117,"(2, 1, 2, 1, 2, 2)"
35,35446.35620470612,"(2, 1, 1, 1, 2, 2)"
19,35487.862342514796,"(1, 2, 1, 1, 2, 2)"
15,35594.92778367676,"(1, 1, 2, 2, 2, 2)"
23,35605.84379158936,"(1, 2, 1, 2, 2, 2)"
31,35629.28321270068,"(1, 2, 2, 2, 2, 2)"
47,35676.79242723031,"(2, 1, 2, 2, 2, 2)"
59,35980.717206759466,"(2, 2, 2, 1, 2, 2)"
63,35986.58643981963,"(2, 2, 2, 2, 2, 2)"
62,35990.23835273909,"(2, 2, 2, 2, 2, 1)"
51,36417.20963381979,"(2, 2, 1, 1, 2, 2)"
55,36437.304759883984,"(2, 2, 1, 2, 2, 2)"
