,score,conf
4,27346.600446745182,"(1, 1, 1, 2, 1, 1)"
40,27358.37018878381,"(2, 1, 2, 1, 1, 1)"
3,27358.425357583554,"(1, 1, 1, 1, 2, 2)"
0,27368.617722771887,"(1, 1, 1, 1, 1, 1)"
36,27369.809594540617,"(2, 1, 1, 2, 1, 1)"
32,27370.262359443554,"(2, 1, 1, 1, 1, 1)"
33,27370.85313567425,"(2, 1, 1, 1, 1, 2)"
1,27372.345521626623,"(1, 1, 1, 1, 1, 2)"
5,27376.78156687075,"(1, 1, 1, 2, 1, 2)"
8,27379.65621034746,"(1, 1, 2, 1, 1, 1)"
44,27382.608707829062,"(2, 1, 2, 2, 1, 1)"
41,27384.31437106244,"(2, 1, 2, 1, 1, 2)"
45,27384.388818654803,"(2, 1, 2, 2, 1, 2)"
37,27411.616413607044,"(2, 1, 1, 2, 1, 2)"
12,27439.580698830934,"(1, 1, 2, 2, 1, 1)"
9,27444.34725930661,"(1, 1, 2, 1, 1, 2)"
13,27461.651588165034,"(1, 1, 2, 2, 1, 2)"
28,27471.239416237415,"(1, 2, 2, 2, 1, 1)"
25,27488.547571516927,"(1, 2, 2, 1, 1, 2)"
57,27507.73344023763,"(2, 2, 2, 1, 1, 2)"
29,27509.64681819568,"(1, 2, 2, 2, 1, 2)"
48,27573.620260597538,"(2, 2, 1, 1, 1, 1)"
52,27576.61573536544,"(2, 2, 1, 2, 1, 1)"
49,27624.430038387927,"(2, 2, 1, 1, 1, 2)"
53,27646.663304104568,"(2, 2, 1, 2, 1, 2)"
38,27675.515933762756,"(2, 1, 1, 2, 2, 1)"
61,27697.055459959873,"(2, 2, 2, 2, 1, 2)"
6,27702.09259888999,"(1, 1, 1, 2, 2, 1)"
43,27704.537870714274,"(2, 1, 2, 1, 2, 2)"
21,27714.38570177565,"(1, 2, 1, 2, 1, 2)"
46,27724.378962497132,"(2, 1, 2, 2, 2, 1)"
20,27728.83642397069,"(1, 2, 1, 2, 1, 1)"
16,27731.370408407638,"(1, 2, 1, 1, 1, 1)"
19,27760.74724585238,"(1, 2, 1, 1, 2, 2)"
56,27777.72055828357,"(2, 2, 2, 1, 1, 1)"
17,27790.094588100586,"(1, 2, 1, 1, 1, 2)"
24,27820.801341871338,"(1, 2, 2, 1, 1, 1)"
14,27824.110325408463,"(1, 1, 2, 2, 2, 1)"
60,27855.085191301736,"(2, 2, 2, 2, 1, 1)"
34,27861.98300245165,"(2, 1, 1, 1, 2, 1)"
2,27876.097578700224,"(1, 1, 1, 1, 2, 1)"
42,27903.816079541935,"(2, 1, 2, 1, 2, 1)"
54,27989.63716155033,"(2, 2, 1, 2, 2, 1)"
22,28101.16787180745,"(1, 2, 1, 2, 2, 1)"
50,28201.636979506475,"(2, 2, 1, 1, 2, 1)"
10,28256.295865863733,"(1, 1, 2, 1, 2, 1)"
15,28278.40816545931,"(1, 1, 2, 2, 2, 2)"
18,28306.683968561065,"(1, 2, 1, 1, 2, 1)"
7,28352.82563135746,"(1, 1, 1, 2, 2, 2)"
35,28664.368845604273,"(2, 1, 1, 1, 2, 2)"
62,28858.44989443804,"(2, 2, 2, 2, 2, 1)"
47,29008.323957544933,"(2, 1, 2, 2, 2, 2)"
11,29008.49873129389,"(1, 1, 2, 1, 2, 2)"
27,29013.615164512776,"(1, 2, 2, 1, 2, 2)"
39,29025.38119814831,"(2, 1, 1, 2, 2, 2)"
31,29034.188826101577,"(1, 2, 2, 2, 2, 2)"
26,29045.79068581956,"(1, 2, 2, 1, 2, 1)"
63,29058.491925539623,"(2, 2, 2, 2, 2, 2)"
59,29061.501028736027,"(2, 2, 2, 1, 2, 2)"
30,29067.80389021253,"(1, 2, 2, 2, 2, 1)"
58,29099.7888857737,"(2, 2, 2, 1, 2, 1)"
51,29775.135440552833,"(2, 2, 1, 1, 2, 2)"
55,29782.999379703648,"(2, 2, 1, 2, 2, 2)"
23,29789.760100704112,"(1, 2, 1, 2, 2, 2)"
