,score,conf
61,29249.907946138024,"(2, 2, 2, 2, 1, 2)"
12,29714.908353970623,"(1, 1, 2, 2, 1, 1)"
36,29719.121789983335,"(2, 1, 1, 2, 1, 1)"
37,29719.942935651536,"(2, 1, 1, 2, 1, 2)"
4,29720.078277094046,"(1, 1, 1, 2, 1, 1)"
8,29722.574407429383,"(1, 1, 2, 1, 1, 1)"
32,29723.51499888684,"(2, 1, 1, 1, 1, 1)"
0,29727.463876361115,"(1, 1, 1, 1, 1, 1)"
35,29727.487906002825,"(2, 1, 1, 1, 2, 2)"
44,29739.72662545625,"(2, 1, 2, 2, 1, 1)"
45,29741.236756129158,"(2, 1, 2, 2, 1, 2)"
40,29748.73938228649,"(2, 1, 2, 1, 1, 1)"
1,29784.30507718634,"(1, 1, 1, 1, 1, 2)"
13,29799.80134154063,"(1, 1, 2, 2, 1, 2)"
33,29808.307227209516,"(2, 1, 1, 1, 1, 2)"
5,29815.46722812634,"(1, 1, 1, 2, 1, 2)"
9,29818.97213845494,"(1, 1, 2, 1, 1, 2)"
41,29831.88202775749,"(2, 1, 2, 1, 1, 2)"
43,29855.493920112076,"(2, 1, 2, 1, 2, 2)"
52,29927.578393841213,"(2, 2, 1, 2, 1, 1)"
48,29933.374857545434,"(2, 2, 1, 1, 1, 1)"
6,29948.455599934972,"(1, 1, 1, 2, 2, 1)"
56,29960.176806247837,"(2, 2, 2, 1, 1, 1)"
51,30035.959868251208,"(2, 2, 1, 1, 2, 2)"
20,30051.91176381028,"(1, 2, 1, 2, 1, 1)"
21,30056.265923905816,"(1, 2, 1, 2, 1, 2)"
16,30056.441594991367,"(1, 2, 1, 1, 1, 1)"
2,30073.910782386247,"(1, 1, 1, 1, 2, 1)"
10,30080.832088808937,"(1, 1, 2, 1, 2, 1)"
53,30090.30251172501,"(2, 2, 1, 2, 1, 2)"
42,30094.07877754863,"(2, 1, 2, 1, 2, 1)"
19,30097.758905557723,"(1, 2, 1, 1, 2, 2)"
17,30120.66246335371,"(1, 2, 1, 1, 1, 2)"
28,30121.437010637088,"(1, 2, 2, 2, 1, 1)"
60,30122.008731417525,"(2, 2, 2, 2, 1, 1)"
25,30124.10628793072,"(1, 2, 2, 1, 1, 2)"
24,30129.456437381705,"(1, 2, 2, 1, 1, 1)"
57,30158.377487091,"(2, 2, 2, 1, 1, 2)"
14,30186.445802712522,"(1, 1, 2, 2, 2, 1)"
54,30197.166842877265,"(2, 2, 1, 2, 2, 1)"
29,30215.809630162563,"(1, 2, 2, 2, 1, 2)"
38,30263.988848074572,"(2, 1, 1, 2, 2, 1)"
22,30311.728203901923,"(1, 2, 1, 2, 2, 1)"
49,30358.380987688546,"(2, 2, 1, 1, 1, 2)"
50,30367.369792098845,"(2, 2, 1, 1, 2, 1)"
11,30384.033111051805,"(1, 1, 2, 1, 2, 2)"
34,30449.41700123699,"(2, 1, 1, 1, 2, 1)"
18,30481.94230471071,"(1, 2, 1, 1, 2, 1)"
46,30538.330000111702,"(2, 1, 2, 2, 2, 1)"
7,30922.581944142723,"(1, 1, 1, 2, 2, 2)"
15,31013.288360212195,"(1, 1, 2, 2, 2, 2)"
3,31125.882531998035,"(1, 1, 1, 1, 2, 2)"
47,31163.36589248242,"(2, 1, 2, 2, 2, 2)"
39,31253.2716456036,"(2, 1, 1, 2, 2, 2)"
62,31268.250531175174,"(2, 2, 2, 2, 2, 1)"
27,31272.888245506165,"(1, 2, 2, 1, 2, 2)"
26,31343.31901899388,"(1, 2, 2, 1, 2, 1)"
63,31344.772324113008,"(2, 2, 2, 2, 2, 2)"
58,31375.56851301826,"(2, 2, 2, 1, 2, 1)"
59,31387.890327081997,"(2, 2, 2, 1, 2, 2)"
31,31403.309469715015,"(1, 2, 2, 2, 2, 2)"
30,31438.29717334309,"(1, 2, 2, 2, 2, 1)"
23,31762.067111854547,"(1, 2, 1, 2, 2, 2)"
55,31915.806527386234,"(2, 2, 1, 2, 2, 2)"
