,conf,score
0,"(7, 100, 5, 18, 32, 0, 'Adagrad', 0.001, 'uniform', 'relu')",241.28899104535424
1,"(7, 100, 5, 18, 128, 0, 'Adagrad', 0.001, 'normal', 'relu')",248.75203962044873
2,"(7, 100, 5, 18, 32, 7, 'Adamax', 0.1, 'normal', 'relu')",289.60747044288456
3,"(7, 100, 5, 18, 128, 7, 'adam', 0.1, 'normal', 'softplus')",303.07792151345325
4,"(7, 100, 3, 18, 500, 7, 'adam', 0.1, 'normal', 'softplus')",303.0857690699451
5,"(14, 100, 3, 18, 500, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",303.0970351499284
6,"(7, 50, 3, 18, 32, 7, 'adam', 0.1, 'uniform', 'softplus')",303.12708512109754
7,"(7, 50, 3, 18, 128, 7, 'adam', 0.1, 'normal', 'relu')",303.17468539040476
8,"(14, 20, 5, 18, 128, 7, 'adam', 0.1, 'normal', 'relu')",303.2339193103788
9,"(7, 20, 3, 18, 500, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",303.56004800887104
10,"(14, 20, 5, 18, 32, 7, 'adam', 0.1, 'normal', 'relu')",306.3902206428538
11,"(14, 20, 3, 18, 128, 7, 'Adagrad', 0.001, 'uniform', 'relu')",309.8705305095226
12,"(7, 20, 3, 18, 500, 7, 'Adagrad', 0.001, 'uniform', 'linear')",310.45489145163947
13,"(7, 20, 3, 18, 32, 7, 'adam', 0.001, 'uniform', 'softplus')",312.6080316800957
14,"(7, 100, 3, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'relu')",314.59154171520737
15,"(7, 100, 3, 18, 128, 0, 'Adamax', 0.001, 'uniform', 'relu')",315.3835545102364
16,"(14, 100, 5, 18, 500, 7, 'Adagrad', 0.1, 'normal', 'softplus')",315.8277890039867
17,"(7, 100, 5, 18, 32, 7, 'Adamax', 0.1, 'uniform', 'softplus')",315.9560793837429
18,"(14, 50, 5, 18, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'softplus')",316.71967435587885
19,"(7, 20, 5, 18, 128, 7, 'adam', 0.1, 'uniform', 'softplus')",319.2703838477538
20,"(14, 100, 3, 18, 32, 7, 'Adamax', 0.1, 'uniform', 'relu')",319.59911025163683
21,"(14, 20, 5, 18, 128, 7, 'Adagrad', 0.1, 'uniform', 'linear')",320.3056595405192
22,"(7, 50, 5, 18, 500, 7, 'adam', 0.1, 'normal', 'softplus')",320.37393297705756
23,"(7, 50, 3, 18, 500, 7, 'Adamax', 0.1, 'uniform', 'linear')",320.48277018467166
24,"(7, 100, 3, 18, 128, 7, 'adam', 0.001, 'uniform', 'linear')",321.17170757829183
25,"(7, 100, 3, 18, 32, 7, 'adam', 0.001, 'uniform', 'linear')",322.0349328070936
26,"(7, 50, 3, 18, 32, 7, 'adam', 0.001, 'uniform', 'relu')",322.17664129043123
27,"(7, 100, 3, 18, 128, 0, 'Adamax', 0.001, 'normal', 'linear')",322.4699903945205
28,"(14, 50, 5, 18, 128, 7, 'Adagrad', 0.001, 'normal', 'relu')",323.46711894004505
29,"(14, 100, 3, 18, 32, 0, 'Adagrad', 0.001, 'uniform', 'relu')",325.37654641033964
30,"(7, 100, 5, 18, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",325.6445097432555
31,"(7, 20, 3, 18, 32, 7, 'adam', 0.001, 'normal', 'softplus')",326.12160748157055
32,"(14, 50, 3, 18, 128, 7, 'Adagrad', 0.1, 'uniform', 'relu')",326.49664784382185
33,"(14, 100, 3, 18, 500, 7, 'Adamax', 0.1, 'uniform', 'relu')",327.05939170183876
34,"(14, 20, 5, 18, 128, 7, 'Adamax', 0.001, 'uniform', 'softplus')",328.76733659631867
35,"(14, 100, 3, 18, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",329.1552584260022
36,"(7, 20, 5, 18, 500, 7, 'Adagrad', 0.1, 'normal', 'linear')",329.2211309633973
37,"(14, 100, 5, 18, 500, 7, 'Adamax', 0.1, 'uniform', 'relu')",329.2956333791735
38,"(14, 100, 5, 18, 500, 7, 'Adagrad', 0.001, 'normal', 'relu')",329.86028829933707
39,"(7, 20, 3, 18, 32, 7, 'adam', 0.001, 'uniform', 'linear')",330.67562375014734
40,"(7, 100, 3, 18, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'softplus')",331.4528388844225
41,"(14, 100, 3, 18, 128, 7, 'Adagrad', 0.001, 'normal', 'relu')",331.9448618384806
42,"(7, 100, 3, 18, 32, 7, 'Adamax', 0.001, 'normal', 'linear')",332.59037559418397
43,"(14, 100, 5, 18, 128, 7, 'adam', 0.001, 'normal', 'linear')",333.3180072416257
44,"(7, 100, 3, 18, 500, 7, 'adam', 0.001, 'normal', 'softplus')",333.359076217267
45,"(7, 20, 3, 18, 32, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",334.692918481618
46,"(7, 50, 3, 18, 128, 0, 'Adamax', 0.001, 'uniform', 'linear')",335.1779446702295
47,"(14, 100, 5, 18, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'softplus')",335.33120238879513
