,conf,score
0,"(14, 50, 5, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",414.1971929365269
1,"(7, 50, 5, 18, 128, 7, 'Adamax', 0.1, 'normal', 'linear')",438.41480298329384
2,"(7, 50, 5, 18, 500, 7, 'Adamax', 0.001, 'normal', 'linear')",440.17786871135513
3,"(14, 50, 5, 18, 500, 7, 'Adamax', 0.001, 'uniform', 'linear')",454.8387289424046
4,"(7, 100, 5, 18, 32, 0, 'Adamax', 0.001, 'normal', 'linear')",461.7255830214688
5,"(14, 20, 3, 18, 32, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",464.5994341302714
6,"(7, 20, 3, 18, 128, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",466.3311916092534
7,"(7, 20, 3, 18, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'relu')",477.16936881391894
8,"(14, 20, 5, 18, 500, 7, 'Adagrad', 0.001, 'lecun_uniform', 'softplus')",477.22438357670956
9,"(14, 20, 5, 18, 32, 7, 'Adamax', 0.001, 'uniform', 'relu')",484.11217924649293
10,"(14, 50, 3, 18, 128, 7, 'Adamax', 0.1, 'normal', 'softplus')",484.1233227697116
11,"(7, 20, 5, 18, 32, 7, 'Adamax', 0.1, 'normal', 'relu')",486.77726880868227
12,"(7, 100, 5, 18, 32, 7, 'adam', 0.001, 'normal', 'softplus')",488.1563546705075
13,"(7, 20, 3, 18, 500, 7, 'Adagrad', 0.1, 'normal', 'relu')",488.5041273480391
14,"(7, 50, 3, 18, 128, 7, 'Adamax', 0.1, 'normal', 'relu')",488.9321914468484
15,"(14, 100, 3, 18, 500, 7, 'Adamax', 0.001, 'normal', 'softplus')",489.2054970812562
16,"(14, 100, 5, 18, 500, 7, 'Adagrad', 0.001, 'normal', 'linear')",489.3406775128984
17,"(7, 20, 3, 18, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",489.60100142291196
18,"(7, 50, 3, 18, 32, 7, 'Adagrad', 0.1, 'uniform', 'linear')",489.9078101624938
19,"(7, 20, 3, 18, 128, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",490.6437311979847
20,"(7, 20, 5, 18, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",490.95706890850767
21,"(7, 100, 3, 18, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",491.52451469335756
22,"(14, 50, 5, 18, 32, 7, 'Adamax', 0.1, 'uniform', 'softplus')",491.68522182662343
23,"(7, 50, 5, 18, 32, 7, 'Adagrad', 0.001, 'lecun_uniform', 'linear')",491.7523713867507
24,"(14, 50, 3, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",492.81524120002894
25,"(7, 50, 5, 18, 500, 7, 'Adamax', 0.001, 'normal', 'relu')",493.83240423509267
26,"(7, 100, 3, 18, 128, 7, 'adam', 0.001, 'normal', 'linear')",493.89291228589514
27,"(7, 100, 5, 18, 32, 7, 'Adamax', 0.1, 'normal', 'softplus')",493.9373852931576
28,"(14, 100, 5, 18, 32, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",494.17700188641106
29,"(7, 20, 3, 18, 32, 7, 'adam', 0.001, 'uniform', 'relu')",496.0258055566735
30,"(7, 20, 5, 18, 128, 7, 'Adamax', 0.001, 'normal', 'relu')",497.88923002515764
31,"(14, 20, 5, 18, 128, 7, 'Adagrad', 0.001, 'normal', 'softplus')",498.76651039982704
32,"(7, 100, 5, 18, 32, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",499.0606111241529
33,"(7, 100, 3, 18, 32, 7, 'Adamax', 0.001, 'lecun_uniform', 'relu')",499.58223983982714
34,"(7, 20, 3, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",500.43194522713793
35,"(14, 50, 5, 18, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",500.86431406600144
36,"(7, 50, 5, 18, 128, 7, 'Adamax', 0.001, 'normal', 'linear')",500.9378415315441
37,"(7, 100, 3, 18, 500, 7, 'Adamax', 0.001, 'normal', 'linear')",503.2974872585378
38,"(14, 100, 5, 18, 500, 7, 'Adamax', 0.1, 'uniform', 'softplus')",504.13557876665925
39,"(7, 20, 5, 18, 32, 7, 'Adamax', 0.001, 'normal', 'softplus')",504.5727999742763
40,"(7, 50, 3, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'softplus')",505.1807608378715
41,"(7, 100, 3, 18, 500, 7, 'Adagrad', 0.001, 'uniform', 'softplus')",505.76556314370737
42,"(7, 20, 3, 18, 500, 7, 'adam', 0.1, 'uniform', 'softplus')",506.53028412721596
43,"(14, 20, 3, 18, 128, 7, 'Adamax', 0.001, 'normal', 'relu')",506.77208693019804
44,"(7, 100, 5, 18, 128, 7, 'Adagrad', 0.001, 'normal', 'softplus')",507.45018949699113
45,"(7, 100, 5, 18, 128, 7, 'adam', 0.001, 'normal', 'softplus')",507.64154793007015
46,"(14, 20, 3, 18, 500, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",508.792494990524
47,"(7, 50, 5, 18, 500, 7, 'adam', 0.001, 'uniform', 'linear')",511.42571572224836
48,"(7, 20, 3, 18, 500, 7, 'Adamax', 0.001, 'lecun_uniform', 'softplus')",511.79794135600173
49,"(7, 50, 3, 18, 500, 7, 'Adagrad', 0.001, 'normal', 'relu')",512.076809252267
50,"(14, 20, 3, 18, 500, 7, 'adam', 0.1, 'uniform', 'softplus')",513.1077727493794
51,"(7, 20, 5, 18, 128, 7, 'Adagrad', 0.1, 'normal', 'linear')",513.3508868036013
52,"(7, 50, 3, 18, 500, 7, 'Adagrad', 0.1, 'uniform', 'softplus')",513.4666561575938
53,"(14, 20, 5, 18, 32, 7, 'Adagrad', 0.1, 'uniform', 'relu')",513.9871618076486
54,"(7, 20, 3, 18, 500, 7, 'Adagrad', 0.001, 'uniform', 'linear')",514.06460363126
55,"(14, 20, 3, 18, 32, 7, 'Adagrad', 0.1, 'uniform', 'relu')",514.594658142898
56,"(7, 20, 5, 18, 500, 7, 'adam', 0.1, 'normal', 'softplus')",514.6891431055208
57,"(7, 20, 3, 18, 32, 7, 'adam', 0.001, 'normal', 'softplus')",515.3047134439093
58,"(7, 50, 3, 18, 128, 7, 'Adamax', 0.1, 'uniform', 'softplus')",515.6166916985874
59,"(7, 20, 3, 18, 32, 7, 'adam', 0.1, 'normal', 'relu')",516.8940019482228
60,"(7, 50, 5, 18, 128, 7, 'Adagrad', 0.001, 'uniform', 'relu')",517.475273659824
61,"(7, 20, 3, 18, 500, 7, 'Adagrad', 0.1, 'normal', 'linear')",518.3271526757885
62,"(7, 100, 3, 18, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'softplus')",520.0690076102971
63,"(14, 20, 3, 18, 500, 7, 'adam', 0.001, 'uniform', 'linear')",520.1777984102912
64,"(14, 100, 5, 18, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",520.2096874486144
65,"(14, 50, 3, 18, 128, 7, 'adam', 0.001, 'lecun_uniform', 'linear')",521.0385219084802
66,"(7, 100, 5, 18, 128, 7, 'Adagrad', 0.001, 'uniform', 'linear')",521.0676781393541
67,"(7, 50, 5, 18, 128, 7, 'Adamax', 0.001, 'lecun_uniform', 'linear')",521.788126852734
68,"(7, 50, 5, 18, 128, 7, 'Adamax', 0.001, 'uniform', 'softplus')",522.1370359517641
69,"(14, 100, 3, 18, 128, 7, 'Adagrad', 0.001, 'uniform', 'linear')",522.2687348780596
70,"(7, 100, 5, 18, 500, 7, 'adam', 0.001, 'uniform', 'softplus')",522.431670141501
71,"(7, 50, 5, 18, 128, 7, 'Adamax', 0.001, 'normal', 'relu')",522.4593480812632
72,"(7, 20, 5, 18, 500, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",522.5907434950129
73,"(7, 50, 5, 18, 32, 7, 'Adagrad', 0.001, 'uniform', 'linear')",523.1317603829577
74,"(14, 20, 3, 18, 500, 7, 'adam', 0.001, 'normal', 'softplus')",523.2777126979172
75,"(7, 20, 5, 18, 32, 7, 'adam', 0.1, 'lecun_uniform', 'relu')",523.4228565400673
76,"(7, 100, 3, 18, 32, 7, 'Adagrad', 0.1, 'normal', 'linear')",523.6218815273302
77,"(14, 20, 3, 18, 500, 7, 'Adagrad', 0.001, 'normal', 'relu')",524.1534169707597
78,"(7, 20, 3, 18, 128, 7, 'Adagrad', 0.001, 'uniform', 'softplus')",524.3128207340066
79,"(7, 20, 3, 18, 128, 7, 'Adagrad', 0.001, 'lecun_uniform', 'relu')",524.7215229977287
80,"(14, 100, 5, 18, 32, 7, 'Adamax', 0.1, 'normal', 'softplus')",524.9515049175445
81,"(7, 100, 5, 18, 128, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",525.2303072016095
82,"(7, 50, 3, 18, 500, 7, 'adam', 0.001, 'normal', 'softplus')",525.4005434700107
83,"(7, 50, 3, 18, 500, 7, 'Adamax', 0.001, 'uniform', 'softplus')",525.5063376982466
84,"(14, 20, 5, 18, 32, 7, 'Adamax', 0.1, 'normal', 'linear')",526.1914345399193
85,"(7, 100, 5, 18, 500, 7, 'adam', 0.001, 'lecun_uniform', 'softplus')",526.2122821067052
86,"(7, 20, 5, 18, 500, 7, 'Adagrad', 0.001, 'uniform', 'relu')",526.647085451036
87,"(14, 20, 5, 18, 32, 7, 'Adagrad', 0.001, 'normal', 'relu')",526.8480541881756
88,"(14, 100, 5, 18, 128, 7, 'Adagrad', 0.001, 'normal', 'linear')",526.8482524597335
89,"(14, 20, 3, 18, 500, 7, 'Adamax', 0.001, 'normal', 'relu')",527.175320692011
90,"(7, 20, 3, 18, 32, 7, 'adam', 0.1, 'normal', 'softplus')",527.258309345189
91,"(14, 50, 5, 18, 128, 7, 'Adamax', 0.001, 'normal', 'relu')",528.4395845356344
92,"(14, 100, 5, 18, 500, 7, 'Adagrad', 0.001, 'uniform', 'relu')",528.953558780684
93,"(14, 50, 5, 18, 32, 7, 'Adamax', 0.001, 'normal', 'relu')",528.9910335685762
94,"(14, 50, 3, 18, 32, 7, 'Adagrad', 0.1, 'lecun_uniform', 'relu')",529.6167914831377
95,"(7, 100, 5, 18, 500, 7, 'Adamax', 0.1, 'uniform', 'relu')",529.8142124928065
96,"(7, 50, 3, 18, 128, 7, 'Adamax', 0.1, 'lecun_uniform', 'relu')",531.6514470513451
97,"(7, 100, 5, 18, 500, 7, 'adam', 0.1, 'uniform', 'softplus')",531.836102129653
98,"(7, 20, 5, 18, 128, 7, 'Adamax', 0.1, 'normal', 'softplus')",532.0130346070841
99,"(14, 20, 5, 18, 500, 7, 'adam', 0.1, 'uniform', 'relu')",532.7054635658574
100,"(14, 20, 3, 18, 500, 7, 'adam', 0.1, 'uniform', 'relu')",534.2126236312072
101,"(14, 50, 3, 18, 32, 7, 'Adamax', 0.1, 'uniform', 'softplus')",534.4172305701898
